epoch,train_loss,val_loss,learning_rate,bleu_score,time
1,5.5233505381361505,4.106677606701851,0.00011216203575909721,0.12712903652445878,96.2371928691864
2,3.677261642947596,3.208325833082199,0.00022432407151819442,4.74466065745569,154.96685910224915
3,3.1190334343175006,2.855226308107376,0.00033648610727729164,7.534006990826605,136.48006629943848
4,2.819282908271588,2.6416993141174316,0.00044864814303638884,9.643991808723829,140.37716579437256
5,2.607385727277411,2.5015008598566055,0.000560810178795486,10.88538670125596,142.02688694000244
6,2.4516094014508085,2.373946025967598,0.0006729722145545833,,27.62947940826416
7,2.3333487452914534,2.3262102603912354,0.0007851342503136805,,27.452396392822266
8,2.247183165098602,2.330478399991989,0.0008972962860727777,,27.432032585144043
9,2.1863842737832258,2.267033204436302,0.0009777567801331918,,27.671756744384766
10,2.1092083501395673,2.1930107176303864,0.0009275815268680075,14.61309841960429,142.3441662788391
11,2.0194556353375774,2.1417287439107895,0.0008844142843439504,,27.693782806396484
12,1.9435903172661029,2.129291422665119,0.00084676221031782,,27.601562023162842
13,1.8733501599748754,2.1198358461260796,0.0008135428167006446,,27.587949514389038
14,1.8104472304755896,2.1024915352463722,0.0007839494740400704,,27.92664933204651
15,1.7536994200446008,2.100981093943119,0.0007573671452194478,15.756160440142114,147.1781587600708
16,1.6998490938005995,2.075218081474304,0.0007333175850998939,,27.846031665802002
17,1.6510712302203745,2.087044082581997,0.0007114225554093483,,27.788804292678833
18,1.6056811659871744,2.092396393418312,0.0006913784495833042,,27.96472454071045
19,1.5636140501971811,2.0820891112089157,0.0006729383677835212,,27.870850801467896
20,1.5258496574368245,2.0894744470715523,0.0006558991877517399,16.966363093566937,145.15666604042053
21,1.4882451834132493,2.0915785878896713,0.0006400920651738065,,28.25606060028076
22,1.4507923349409901,2.107666328549385,0.0006253753378378548,,27.805327892303467
23,1.4201100521150665,2.143130972981453,0.0006116291462994137,,28.16529130935669
24,1.3878472825504085,2.1127797216176987,0.0005987513009682401,,28.01408815383911
25,1.3559187603416947,2.1301808059215546,0.0005866540680799151,17.726352011910556,141.637770652771
26,1.3296873448703783,2.1419950053095818,0.0005752616424746302,,27.933300733566284
27,1.300872955028181,2.1425341740250587,0.00056450814021188,,27.567524194717407
28,1.2775908217556151,2.1589159667491913,0.0005543359892013611,,27.93553900718689
29,1.2517594369497593,2.1810825243592262,0.0005446946278252152,,27.461165189743042
30,1.226234095999848,2.1939341202378273,0.0005355394442325682,16.597924784537316,147.70240378379822
31,1.2055954653523566,2.201180912554264,0.0005268309054136466,,27.64975070953369
32,1.1827333845230976,2.206645652651787,0.0005185338371874781,,27.681188583374023
33,1.1593845438064458,2.211294412612915,0.00051061682514113,,27.915289163589478
34,1.1418231603595128,2.2414592877030373,0.0005030517132190125,,27.81921625137329
35,1.122820861801702,2.236325241625309,0.000495813181691533,18.332742197372035,141.02963280677795
36,1.1034267143005843,2.2521751299500465,0.0004888783900665959,,27.432809114456177
37,1.0828750456482303,2.259917229413986,0.00048222667345453084,,27.747720956802368
38,1.0700790098322646,2.2741803228855133,0.00047583928318033474,,28.06862711906433
39,1.053778802245724,2.279077023267746,0.0004696991642194035,,27.748992681503296
40,1.0394763903208242,2.3061377704143524,0.00046379076343400373,17.54983477682049,141.8417203426361
41,1.0236124337244663,2.284197747707367,0.0004580998636964738,,27.526408195495605
42,1.0060579164962937,2.3235984295606613,0.00045261343986810015,,27.593623161315918
43,0.9928579377707931,2.3160986453294754,0.0004473195333099679,,27.578160762786865
44,0.9791042823098305,2.3339639753103256,0.0004422071421719752,,27.694493770599365
45,0.9656918143385832,2.3342188745737076,0.0004372661251678266,17.752193337762343,140.93208980560303
46,0.9540065550594078,2.346872493624687,0.0004324871169196544,,27.5564923286438
47,0.9417894175399243,2.3441722989082336,0.00042786145326341034,,27.629718542099
48,0.9292670689227822,2.360443651676178,0.00042338110515891,,27.5757098197937
49,0.9163622169505132,2.3709681183099747,0.0004190386200570822,,27.429574966430664
50,0.9064828753471375,2.37816621363163,0.0004148270697499825,17.497526900800292,141.7116928100586
51,0.8957940705022097,2.3883539885282516,0.00041074000387315867,,27.38166618347168
52,0.884356418501438,2.3902565389871597,0.0004067714083503223,,27.685693740844727
53,0.8736653757252882,2.387922465801239,0.0004029156681712487,,27.28890562057495
54,0.8635091257778034,2.409789115190506,0.0003991675339788267,,27.4606671333313
55,0.8556711017297753,2.408376172184944,0.00039552209201298023,17.426033123200632,142.40022921562195
56,0.8439855441648004,2.415793478488922,0.0003919747370200352,,27.75441265106201
57,0.8359430568858915,2.4260240644216537,0.0003885211477878433,,27.941684246063232
58,0.8233258927708681,2.4522264897823334,0.0003851572650110924,,27.770111799240112
59,0.8157668602098977,2.4363065361976624,0.00038187927122897126,,27.984293460845947
60,0.8074438548298134,2.43499618768692,0.0003786835726097239,17.689875548203332,141.33264422416687
61,0.7995758664502971,2.449154406785965,0.00037556678238446535,,28.15227437019348
62,0.7941356808078447,2.4362078309059143,0.0003725257057566381,,27.94741201400757
63,0.7849974837072096,2.460557922720909,0.0003695573261342407,,27.833914518356323
64,0.7788285993794513,2.463875859975815,0.00036665879254994696,,27.961538314819336
65,0.7687172751857321,2.464662790298462,0.00036382740814985847,17.331983571997007,142.51806330680847
66,0.763155714399489,2.464999482035637,0.0003610606196452386,,27.858749628067017
67,0.7548060452622989,2.486276224255562,0.00035835600763344644,,28.076906442642212
68,0.7475087145089053,2.4829563051462173,0.0003557112777046741,,27.904645681381226
69,0.7414978792488838,2.484953835606575,0.0003531242522601875,,27.861841201782227
70,0.7349776208138151,2.494200423359871,0.00035059286297576083,17.49668095547061,144.2309181690216
71,0.7264295752090505,2.4937442541122437,0.0003481151438510257,,27.896701097488403
72,0.7237257592478513,2.5039791613817215,0.0003456892247916521,,27.822540760040283
73,0.716496153550001,2.506355494260788,0.00034331332567675074,,27.89277720451355
74,0.7089559828394835,2.5299760550260544,0.00034098575086872964,,28.37123155593872
75,0.7041565270413386,2.516126587986946,0.000338704884127128,16.96646312800281,139.54608798027039
76,0.6976964247909412,2.5122348368167877,0.0003364691838917606,,28.044538974761963
77,0.6919365835084789,2.5370331406593323,0.00033427717890389404,,28.0649631023407
78,0.6883133980671214,2.5321454256772995,0.000332127464137194,,27.73606824874878
79,0.6824561729042541,2.5313716679811478,0.0003300186970128722,,27.93475890159607
80,0.6766952119997419,2.5379072576761246,0.00032794959387586994,17.49121005575083,141.00654458999634
81,0.6727354018436129,2.5292488485574722,0.0003259189267110639,,27.95195746421814
82,0.6672419325370621,2.5510867685079575,0.0003239255200804097,,28.02495551109314
83,0.6643157786472254,2.5523983985185623,0.0003219682482636665,,28.13117027282715
84,0.6572974135172,2.5615863651037216,0.0003200460325869033,,28.124510765075684
85,0.6538717364687227,2.55489481985569,0.00031815783892438266,17.19912445316377,143.1980333328247
86,0.6482003520238767,2.5566165149211884,0.00031630267536068,,27.795379638671875
87,0.642317243347084,2.5511635541915894,0.000314479590001031,,28.05548858642578
88,0.6394071777224015,2.5636506378650665,0.0003126876689189274,,28.061843872070312
89,0.6354578008735757,2.5521798729896545,0.0003109260342309084,,27.838828086853027
90,0.6306010412487164,2.5730026215314865,0.00030919384228933586,16.497557626818534,146.85492062568665
91,0.6280227717717839,2.5728294402360916,0.0003074902819847015,,28.116832733154297
92,0.6233757790752444,2.559399351477623,0.00030581457314970685,,28.05394172668457
93,0.6213637243808628,2.5807432532310486,0.00030416596505798314,,27.82818078994751
94,0.6135242492091814,2.5726554542779922,0.00030254373501088853,,28.04577612876892
95,0.6088992436683125,2.5846408158540726,0.00030094718700634154,17.110227716874274,144.01221871376038
96,0.6053684387963248,2.573064759373665,0.00029937565048412007,,28.342533588409424
97,0.6037513827043482,2.5835451185703278,0.00029782847914248945,,28.125683546066284
98,0.5995966463887219,2.59159579873085,0.00029630504982141605,,28.152267456054688
99,0.5946650841162593,2.591330423951149,0.00029480476144798346,,27.8641095161438
100,0.5915054032324695,2.5972634851932526,0.00029332703403995756,16.909592706753354,142.61057901382446
